"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"39","SW1J-4249","438.63750","431.03750","D-Digital","High","12.5K","Off","Off","4249","Group Call","4249","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"40","SW1J-UNLINK","438.63750","431.03750","D-Digital","High","12.5K","Off","Off","4000","Group Call","4000","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"41","SW1J-STATUS","438.63750","431.03750","D-Digital","High","12.5K","Off","Off","5000","Group Call","5000","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"42","SW1J-ECHO TEST","438.63750","431.03750","D-Digital","High","12.5K","Off","Off","9990","Group Call","9990","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"50","SW1I-202","438.73750","431.13750","D-Digital","Low","12.5K","Off","Off","202","Group Call","202","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","Off","Digital","1","0","On","0","1","0","0","0"
"51","SW1I-8","438.73750","431.13750","D-Digital","Low","12.5K","Off","Off","8","Group Call","8","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","Off","Digital","1","0","On","0","1","0","0","0"
"52","SW1I-9","438.73750","431.13750","D-Digital","Low","12.5K","Off","Off","9","Group Call","9","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","On","Off","Off","Digital","1","0","Off","0","1","0","0","0"
"53","SW1I-4048","438.73750","431.13750","D-Digital","High","12.5K","Off","Off","4048","Group Call","4048","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"54","SW1I-4148","438.73750","431.13750","D-Digital","High","12.5K","Off","Off","4148","Group Call","4148","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"55","SW1I-4240","438.73750","431.13750","D-Digital","High","12.5K","Off","Off","4240","Group Call","4240","SY2CRI","ChannelFree","Carrier","Off","1","1","1","Off","1","2","None","8+9","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
